date,rr,precipitation
19990127,   14,1.4
19990128,    2,0.2
19990129,    6,0.6
19990130,    8,0.8
19990131,    0,0
19990201,    0,0
19990202,    0,0
19990203,    0,0
19990204,    0,0
19990205,    2,0.2
19990206,   48,4.8
19990207,    0,0
19990208,   12,1.2
19990209,    0,0
19990210,    0,0
19990211,    2,0.2
19990212,    0,0
19990213,    0,0
19990214,    9,0.9
19990215,    2,0.2
19990216,    0,0
19990217,   10,1
19990218,   14,1.4
19990219,    4,0.4
19990220,    4,0.4
19990221,   16,1.6
19990222,    6,0.6
19990223,   15,1.5
19990224,    0,0
19990225,    0,0
19990226,   53,5.3
19990227,    0,0
19990228,   14,1.4
19990301,    6,0.6
19990302,   78,7.8
19990303,   48,4.8
19990304,    2,0.2
19990305,    0,0
19990306,   14,1.4
19990307,   30,3
19990308,    0,0
19990309,    2,0.2
19990310,    0,0
19990311,    0,0
19990312,   38,3.8
19990313,    0,0
19990314,    0,0
19990315,    0,0
19990316,    0,0
19990317,    0,0
19990318,    0,0
19990319,    0,0
19990320,   10,1
19990321,    6,0.6
19990322,    0,0
19990323,    0,0
19990324,    0,0
19990325,   14,1.4
19990326,    0,0
19990327,    0,0
19990328,    0,0
19990329,    6,0.6
19990330,    2,0.2
19990331,    0,0
19990401,    0,0
19990402,    0,0
19990403,    0,0
19990404,    4,0.4
19990405,    0,0
19990406,    4,0.4
19990407,    0,0
19990408,    0,0
19990409,    0,0
19990410,    0,0
19990411,   68,6.8
19990412,   34,3.4
19990413,   16,1.6
19990414,    0,0
19990415,   16,1.6
19990416,   12,1.2
19990417,    4,0.4
19990418,    0,0
19990419,   14,1.4
19990420,   80,8
19990421,    8,0.8
19990422,   18,1.8
19990423,   36,3.6
19990424,    0,0
19990425,   34,3.4
19990426,    2,0.2
19990427,    0,0
19990428,    0,0
19990429,    0,0
19990430,    0,0
19990501,    0,0
19990502,    0,0
19990503,    0,0
19990504,    0,0
19990505,   12,1.2
19990506,    2,0.2
19990507,   44,4.4
19990508,    8,0.8
19990509,    0,0
19990510,   10,1
19990511,    0,0
19990512,   34,3.4
19990513,   24,2.4
19990514,   24,2.4
19990515,    0,0
19990516,    0,0
19990517,    4,0.4
19990518,    2,0.2
19990519,    8,0.8
19990520,    2,0.2
19990521,    0,0
19990522,    0,0
19990523,    0,0
19990524,    0,0
19990525,    0,0
19990526,    0,0
19990527,    2,0.2
19990528,    0,0
19990529,  100,10
19990530,   82,8.2
19990531,    0,0
19990601,  438,43.8
19990602,   38,3.8
19990603,   40,4
19990604,   10,1
19990605,   40,4
19990606,   18,1.8
19990607,   60,6
19990608,    0,0
19990609,    0,0
19990610,    0,0
19990611,   14,1.4
19990612,    2,0.2
19990613,    0,0
19990614,    2,0.2
19990615,    0,0
19990616,    0,0
19990617,    0,0
19990618,    0,0
19990619,   10,1
19990620,    8,0.8
19990621,    0,0
19990622,    0,0
19990623,    0,0
19990624,    0,0
19990625,    0,0
19990626,    2,0.2
19990627,    6,0.6
19990628,  150,15
19990629,  142,14.2
19990630,    2,0.2
19990701,    2,0.2
19990702,   54,5.4
