date,ss,sunshine
20190902,   71,7.1
20190903,   25,2.5
20190904,   70,7
20190905,   85,8.5
20190906,    7,0.7
20190907,   28,2.8
20190908,   86,8.6
20190909,    0,0
20190910,   54,5.4
20190911,    5,0.5
20190912,   33,3.3
20190913,  118,11.8
20190914,  109,10.9
20190915,  100,10
20190916,    0,0
20190917,  114,11.4
20190918,  111,11.1
20190919,  105,10.5
20190920,  108,10.8
20190921,  106,10.6
20190922,    4,0.4
20190923,   33,3.3
20190924,   18,1.8
20190925,   26,2.6
20190926,   17,1.7
20190927,   41,4.1
20190928,    3,0.3
20190929,    3,0.3
20190930,    2,0.2
20191001,   28,2.8
20191002,   79,7.9
20191003,    2,0.2
20191004,    2,0.2
20191005,    0,0
20191006,   47,4.7
20191007,    5,0.5
20191008,   25,2.5
20191009,   42,4.2
20191010,   38,3.8
20191011,    0,0
20191012,    0,0
20191013,   11,1.1
20191014,    0,0
20191015,   17,1.7
20191016,   30,3
20191017,   27,2.7
20191018,   46,4.6
20191019,   67,6.7
20191020,   14,1.4
20191021,    0,0
20191022,   76,7.6
20191023,    2,0.2
20191024,    0,0
20191025,    0,0
20191026,    0,0
20191027,   53,5.3
20191028,   35,3.5
20191029,    1,0.1
20191030,   44,4.4
20191031,   49,4.9
20191101,    0,0
20191102,    3,0.3
20191103,   18,1.8
20191104,   12,1.2
20191105,    6,0.6
20191106,   33,3.3
20191107,   60,6
20191108,    1,0.1
20191109,    4,0.4
20191110,   63,6.3
20191111,   35,3.5
20191112,   27,2.7
20191113,   33,3.3
20191114,   26,2.6
20191115,    0,0
20191116,    7,0.7
20191117,   21,2.1
20191118,   38,3.8
20191119,    0,0
20191120,    8,0.8
20191121,    0,0
20191122,    7,0.7
20191123,    0,0
20191124,    1,0.1
20191125,    0,0
20191126,    0,0
20191127,   12,1.2
20191128,    3,0.3
20191129,   57,5.7
20191130,   38,3.8
20191201,   13,1.3
20191202,   55,5.5
20191203,   29,2.9
20191204,   54,5.4
20191205,    5,0.5
20191206,    1,0.1
20191207,    3,0.3
20191208,   17,1.7
20191209,   41,4.1
20191210,    0,0
20191211,   26,2.6
20191212,    0,0
20191213,   20,2
20191214,   26,2.6
20191215,   40,4
20191216,    0,0
20191217,    0,0
20191218,   12,1.2
20191219,    4,0.4
20191220,    5,0.5
20191221,   19,1.9
20191222,   22,2.2
20191223,   41,4.1
20191224,   20,2
20191225,   50,5
20191226,    1,0.1
20191227,    0,0
20191228,    0,0
20191229,   22,2.2
20191230,   36,3.6
20191231,    0,0
20200101,    0,0
20200102,    0,0
20200103,   27,2.7
20200104,   14,1.4
20200105,    0,0
20200106,    4,0.4
20200107,   13,1.3
20200108,    0,0
20200109,   29,2.9
20200110,   35,3.5
20200111,    4,0.4
20200112,   28,2.8
20200113,    6,0.6
20200114,    0,0
20200115,   20,2
20200116,    4,0.4
20200117,   18,1.8
20200118,   58,5.8
20200119,   61,6.1
20200120,   29,2.9
20200121,   56,5.6
20200122,    0,0
20200123,    0,0
20200124,    0,0
20200125,    0,0
20200126,    0,0
20200127,    1,0.1
20200128,   38,3.8
20200129,   58,5.8
20200130,    0,0
20200131,    0,0
20200201,   33,3.3
20200202,    0,0
20200203,   10,1
20200204,    9,0.9
20200205,   31,3.1
20200206,   46,4.6
20200207,   43,4.3
20200208,   34,3.4
20200209,    0,0
20200210,   21,2.1
20200211,   55,5.5
20200212,   61,6.1
20200213,    9,0.9
20200214,   30,3
20200215,    0,0
20200216,    1,0.1
20200217,   33,3.3
20200218,   26,2.6
20200219,    0,0
20200220,   10,1
20200221,    0,0
20200222,   16,1.6
20200223,   13,1.3
20200224,    0,0
20200225,   16,1.6
20200226,   43,4.3
20200227,   45,4.5
